epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,3252.37,0.46259,0.34942,0.86832,0.62899,0.40989,0.48245,0.41051,0.82547,1.92972,1.0445,1.85484e-05,1.85484e-05,1.85484e-05
91,3287.11,0.42758,0.29491,0.84399,0.64419,0.38577,0.45516,0.3824,0.83918,1.98207,1.04967,1.7004e-05,1.7004e-05,1.7004e-05
92,3321.07,0.41854,0.28585,0.84205,0.59739,0.40197,0.46948,0.39578,0.83334,1.97401,1.05427,1.54596e-05,1.54596e-05,1.54596e-05
93,3355.03,0.41776,0.28233,0.83897,0.61354,0.40332,0.46548,0.39892,0.8237,1.96822,1.0501,1.39152e-05,1.39152e-05,1.39152e-05
94,3388.96,0.41512,0.28295,0.83878,0.5954,0.40251,0.45739,0.39354,0.82042,1.96294,1.0453,1.23708e-05,1.23708e-05,1.23708e-05
95,3422.98,0.41298,0.2773,0.83621,0.70116,0.37446,0.46361,0.39911,0.8205,1.9516,1.0485,1.08264e-05,1.08264e-05,1.08264e-05
96,3456.96,0.41127,0.27671,0.83793,0.5897,0.41375,0.45645,0.39372,0.82241,1.9681,1.04603,9.282e-06,9.282e-06,9.282e-06
97,3490.97,0.40833,0.27555,0.83434,0.75661,0.35643,0.46084,0.39588,0.82144,1.95305,1.04526,7.7376e-06,7.7376e-06,7.7376e-06
98,3524.93,0.40964,0.27369,0.8377,0.76877,0.35817,0.45957,0.39756,0.82222,1.96057,1.05074,6.1932e-06,6.1932e-06,6.1932e-06
99,3558.88,0.40982,0.27595,0.83641,0.65585,0.38049,0.46713,0.40172,0.8226,1.94828,1.04978,4.6488e-06,4.6488e-06,4.6488e-06
100,3592.86,0.40189,0.27031,0.83565,0.72204,0.37912,0.47802,0.40543,0.8253,1.93714,1.05668,3.1044e-06,3.1044e-06,3.1044e-06
